rank,title,score,num_of_votes,director,release_year,country,theme,summary,movie_url
126,真爱至上,8.5,307558, 理查德·柯蒂斯 Richard Curtis,2003,英国 美国 法国,喜剧 剧情 爱情,爱，是个动词。,https://movie.douban.com/subject/1292401/
127,雨人,8.6,209818, 巴瑞·莱文森 Barry Levinson,1988,美国,剧情,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/
128,燃情岁月,8.7,148811, 爱德华·兹威克 Edward Zwick,1994,美国,剧情 爱情 西部 家庭,传奇，不是每个人都可以拥有。,https://movie.douban.com/subject/1295865/
129,东邪西毒,8.6,249219, 王家卫 Kar Wai Wong,1994,香港 台湾,剧情 动作 爱情 武侠 古装,电影诗。,https://movie.douban.com/subject/1292328/
130,记忆碎片,8.5,278915, 克里斯托弗·诺兰 Christopher Nolan,2000,美国,犯罪 剧情 悬疑 惊悚,一个针管引发的血案。,https://movie.douban.com/subject/1304447/
131,小森林 夏秋篇,8.9,128086, 森淳一 Junichi Mori,2014,日本,剧情,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/
132,喜宴,8.8,139106, 李,1993,台湾 美国,剧情 喜剧 爱情 同性 家庭,中国家庭的喜怒哀乐忍。,https://movie.douban.com/subject/1303037/
133,喜剧之王,8.5,310778, 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,香港,喜剧 剧情 爱情,我是一个演员。,https://movie.douban.com/subject/1302425/
134,虎口脱险,8.9,106977, 杰拉尔·乌里 G,1966,法国 英国,喜剧 战争,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/
135,怪兽电力公司,8.6,238378, 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,美国,喜剧 动画 儿童 奇幻,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/
136,疯狂原始人,8.7,368695, 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,美国,喜剧 动画 冒险,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
137,黑天鹅,8.5,415539, 达伦·阿罗诺夫斯基 Darren Aronofsky,2010,美国,剧情 惊悚,黑暗之美。,https://movie.douban.com/subject/1978709/
138,卢旺达饭店,8.8,118910, 特瑞·乔治 Terry George,2004,英国 南非 意大利 美国,剧情 历史 战争,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
139,英雄本色,8.7,159930, 吴宇森 John Woo,1986,香港,动作 犯罪,英雄泪短，兄弟情长。 ,https://movie.douban.com/subject/1297574/
140,猜火车,8.5,247944, 丹尼·博伊尔 Danny Boyle,1996,英国,犯罪 剧情,不可猜的青春迷笛。 ,https://movie.douban.com/subject/1292528/
141,穿越时空的少女,8.6,184776, 细田守 Mamoru Hosoda,2006,日本,剧情 爱情 科幻 动画,爱上未来的你。 ,https://movie.douban.com/subject/1937946/
142,恋恋笔记本,8.5,279883, 尼克·卡索维茨 Nick Cassavetes,2004,美国,剧情 爱情,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/
143,魂断蓝桥,8.8,128717, Mervyn LeRoy,1940,美国,剧情 战争 爱情,中国式内在的美国电影。,https://movie.douban.com/subject/1293964/
144,雨中曲,8.9,92684, Stanley Donen / Gene Kelly,1952,美国,喜剧 歌舞 爱情,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/
145,傲慢与偏见,8.4,299164, 乔·怀特 Joe Wright,2005,法国 英国 美国,剧情 爱情,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
146,教父3,8.7,128845, 弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,美国,剧情 犯罪,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/
147,完美的世界,9.0,79153, 克林特·伊斯特伍德 Clint Eastwood,1993,美国,剧情 犯罪,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/
148,纵横四海,8.7,143535, 吴宇森 John Woo,1991,香港,剧情 喜剧 动作 犯罪,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/
149,萤火之森,8.7,155007, 大森贵弘 Takahiro Omori,2011,日本,剧情 爱情 动画 奇幻,触不到的恋人。,https://movie.douban.com/subject/5989818/
150,玩具总动员3,8.8,190490, 李·昂克里奇 Lee Unkrich,2010,美国,喜剧 动画 奇幻 冒险,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
151,7号房的礼物,8.7,172734, 李焕庆 Hwan-kyeong Lee,2013,韩国,剧情 喜剧 家庭,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
152,哈利·波特与死亡圣器(下),8.6,270575, 大卫·叶茨 David Yates,2011,美国 英国,剧情 悬疑 奇幻 冒险,10年的完美句点。,https://movie.douban.com/subject/3011235/
153,花样年华,8.5,244818, 王家卫 Kar Wai Wong,2000,香港 法国,剧情 爱情,偷情本没有这样美。,https://movie.douban.com/subject/1291557/
154,海边的曼彻斯特,8.6,168987, 肯尼斯·罗纳根 Kenneth Lonergan,2016,美国,剧情 家庭,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/
155,荒蛮故事,8.7,134498, 达米安·斯兹弗隆 Dami,2014,阿根廷 西班牙,剧情 喜剧 犯罪,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/
156,二十二,8.8,84600, 郭柯 Ke Guo,2015,中国大陆,纪录片,有一些东西不应该被遗忘。,https://movie.douban.com/subject/26430107/
157,我是山姆,8.8,102170, 杰茜·尼尔森 Jessie Nelson,2001,美国,剧情 家庭,爱并不需要智商 。,https://movie.douban.com/subject/1306861/
158,人工智能,8.6,188256, 史蒂文·斯皮尔伯格 Steven Spielberg,2001,美国,冒险 剧情 科幻,对爱的执着，可以超越一切。,https://movie.douban.com/subject/1302827/
159,浪潮,8.7,131091, 丹尼斯·甘塞尔 Dennis Gansel,2008,德国,剧情 惊悚,世界离独裁只有五天。,https://movie.douban.com/subject/2297265/
160,香水,8.4,273651, 汤姆·提克威 Tom Tykwer,2006,德国 法国 西班牙 美国,剧情 犯罪 奇幻,一个单凭体香达到高潮的男人。,https://movie.douban.com/subject/1760622/
161,小森林 冬春篇,8.9,110265, 森淳一 Junichi Mori,2015,日本,剧情,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/
162,冰川时代,8.4,267373, 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002,美国,喜剧 动画 冒险,松鼠才是角儿。,https://movie.douban.com/subject/1291578/
163,朗读者,8.5,276149, 史蒂芬·戴德利 Stephen Daldry,2008,美国 德国,剧情 爱情,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,https://movie.douban.com/subject/2213597/
164,追随,8.9,81173, 克里斯托弗·诺兰 Christopher Nolan,1998,英国,犯罪 悬疑 惊悚,诺兰的牛逼来源于内心散发出的恐惧。,https://movie.douban.com/subject/1397546/
165,时空恋旅人,8.6,195527, 理查德·柯蒂斯 Richard Curtis,2013,英国,剧情 爱情 奇幻,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/
166,撞车,8.6,172910, 保罗·哈吉斯 Paul Haggis,2004,美国 德国,犯罪 剧情,天使与魔鬼的冲撞。,https://movie.douban.com/subject/1388216/
167,唐伯虎点秋香,8.4,318211, 李力持 Lik-Chi Lee,1993,香港,喜剧 爱情 古装,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/
168,心迷宫,8.6,158110, 忻钰坤 Yukun Xin,2014,中国大陆,剧情 犯罪 悬疑,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/
169,罗生门,8.7,123242, 黑泽明 Akira Kurosawa,1950,日本,犯罪 剧情 悬疑,人生的N种可能性。,https://movie.douban.com/subject/1291879/
170,超能陆战队,8.6,361984, 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014,美国,喜剧 动作 科幻 动画 冒险,Balalala~~~,https://movie.douban.com/subject/11026735/
171,一次别离,8.7,130776, 阿斯哈·法哈蒂  Asghar Farhadi,2011,伊朗 法国,剧情 家庭,只有有信仰的人才能说出事实真相。,https://movie.douban.com/subject/5964718/
172,蝙蝠侠：黑暗骑士崛起,8.5,291174, 克里斯托弗·诺兰 Christopher Nolan,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,诺兰就是保证。,https://movie.douban.com/subject/3395373/
173,战争之王,8.5,172901, 安德鲁·尼科尔 Andrew Niccol,2005,美国 法国,剧情 犯罪,做一颗让别人需要你的棋子。,https://movie.douban.com/subject/1419936/
174,可可西里,8.7,127419, 陆川 Chuan Lu,2004,中国大陆 香港,剧情 犯罪,坚硬的信仰。,https://movie.douban.com/subject/1308857/
175,梦之安魂曲,8.7,110529, 达伦·阿伦诺夫斯基 Darren Aronofsky,2000,美国,剧情,一场没有春天的噩梦。,https://movie.douban.com/subject/1292270/
176,未麻的部屋,8.8,94855, 今敏 Satoshi Kon,1997,日本,动画 奇幻 惊悚,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/
177,地球上的星星,8.8,82953, 阿米尔·汗 Aamir Khan,2007,印度,剧情 儿童 家庭,天使保护事件始末。,https://movie.douban.com/subject/2363506/
178,爆裂鼓手,8.6,233189, 达米安·沙泽勒 Damien Chazelle,2014,美国,剧情 音乐,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/
179,碧海蓝天,8.7,107181, Luc Besson,1988,法国 美国 意大利,剧情 爱情,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,https://movie.douban.com/subject/1300960/
180,恐怖游轮,8.3,316270, 克里斯托弗·史密斯 Christopher Smith,2009,英国 澳大利亚,剧情 悬疑 惊悚,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/
181,秒速5厘米,8.3,290356, 新海诚 Makoto Shinkai,2007,日本,动画 剧情 爱情,青春就是放弃和怀念。,https://movie.douban.com/subject/2043546/
182,阿飞正传,8.5,178075, 王家卫 Kar Wai Wong,1990,香港,犯罪 剧情 爱情,王家卫是一种风格，张国荣是一个代表。,https://movie.douban.com/subject/1305690/
183,达拉斯买家俱乐部,8.6,165165, 让-马克·瓦雷 Jean-Marc Vallée,2013,美国,剧情 传记 同性,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/
184,牯岭街少年杀人事件,8.7,104847, 杨德昌 Edward Yang,1991,台湾,剧情 犯罪,弱者送给弱者的一刀。,https://movie.douban.com/subject/1292329/
185,谍影重重2,8.5,156837, 保罗·格林格拉斯 Paul Greengrass,2004,美国 德国,动作 悬疑 惊悚,谁说王家卫镜头很晃？,https://movie.douban.com/subject/1308767/
186,谍影重重,8.5,189104, 道格·里曼 Doug Liman,2002,美国 德国 捷克,动作 悬疑 惊悚,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,https://movie.douban.com/subject/1304102/
187,海盗电台,8.6,163652, 理查德·柯蒂斯 Richard Curtis,2009,英国 德国 法国,剧情 喜剧 音乐,生命不止，摇滚不死。,https://movie.douban.com/subject/3007773/
188,惊魂记,8.9,81266, Alfred Hitchcock,1960,美国,悬疑 惊悚 恐怖,故事的反转与反转，分裂电影的始祖。,https://movie.douban.com/subject/1293181/
189,被解救的姜戈,8.5,255432, 昆汀·塔伦蒂诺 Quentin Tarantino,2012,美国,剧情 动作 西部 冒险,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/
190,魔女宅急便,8.4,190540, 宫崎骏 Hayao Miyazaki,1989,日本,动画 奇幻 冒险,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://movie.douban.com/subject/1307811/
191,再次出发之纽约遇见你,8.5,164243, 约翰·卡尼 John Carney,2013,美国,喜剧 爱情 音乐,爱我就给我看你的播放列表。,https://movie.douban.com/subject/6874403/
192,东京物语,9.2,49507, 小津安二郎 Yasujirô Ozu,1953,日本,剧情 家庭,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,https://movie.douban.com/subject/1291568/
193,绿里奇迹,8.7,104702, Frank Darabont,1999,美国,犯罪 剧情 奇幻 悬疑,天使暂时离开。,https://movie.douban.com/subject/1300374/
194,青蛇,8.4,216303, 徐克 Hark Tsui,1993,香港,剧情 奇幻 古装,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://movie.douban.com/subject/1303394/
195,末路狂花,8.7,102673, 雷德利·斯科特 Ridley Scott,1991,美国 法国,犯罪 剧情 惊悚,没有了退路，只好飞向自由。,https://movie.douban.com/subject/1291992/
196,勇闯夺命岛,8.5,139795, 迈克尔·贝 Michael Bay,1996,美国,动作 冒险,类型片的极致。 ,https://movie.douban.com/subject/1292728/
197,哪吒闹海,8.8,78182, 严定宪 Dingxian Yan / 王树忱 Shuchen Wang,1979,中国大陆,冒险 动画 奇幻,想你时你在闹海。,https://movie.douban.com/subject/1307315/
198,迁徙的鸟,9.1,51236, 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,2001,法国 德国 意大利 西班牙 瑞士,纪录片,最美的飞翔。,https://movie.douban.com/subject/1292281/
199,忠犬八公物语,9.0,56173, Seijirô Kôyama,1987,日本,剧情,养狗三日，便会对你终其一生。,https://movie.douban.com/subject/1959195/
200,荒野生存,8.6,124935, 西恩·潘 Sean Penn,2007,美国,冒险 传记 剧情,出门必备：本草纲目。,https://movie.douban.com/subject/1905462/
201,终结者2：审判日,8.5,138454, 詹姆斯·卡梅隆 James Cameron,1991,美国 法国,动作 科幻,少见的超越首部的续集，动作片中的经典。,https://movie.douban.com/subject/1291844/
202,卡萨布兰卡,8.6,122499, Michael Curtiz,1942,美国,剧情 爱情 战争,与同名歌曲无关。,https://movie.douban.com/subject/1296753/
203,这个男人来自地球,8.5,175582, 理查德·沙因克曼 Richard Schenkman,2007,美国,剧情 科幻,科幻真正的魅力不是视觉效果能取代的。 ,https://movie.douban.com/subject/2300586/
204,源代码,8.3,401576, 邓肯·琼斯 Duncan Jones,2011,美国 加拿大,爱情 科幻 悬疑 惊悚,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/
205,变脸,8.4,210448, 吴宇森 John Woo,1997,美国,动作 科幻 犯罪 惊悚,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,https://movie.douban.com/subject/1292659/
206,新龙门客栈,8.4,179183, 李惠民 Raymond Lee,1992,香港 中国大陆,剧情 动作 武侠 古装,嬉笑怒骂，调风动月。,https://movie.douban.com/subject/1292287/
207,燕尾蝶,8.6,106624, 岩井俊二 Shunji Iwai,1996,日本,犯罪 剧情,现实与童话交相辉映的旅程。,https://movie.douban.com/subject/1307793/
208,黑客帝国3：矩阵革命,8.5,152069, Andy Wachowski / Larry Wachowski,2003,美国 澳大利亚,动作 科幻,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://movie.douban.com/subject/1302467/
209,黄金三镖客,9.1,50281, Sergio Leone,1966,意大利 西班牙 西德,冒险 西部,最棒的西部片。,https://movie.douban.com/subject/1401118/
210,E.T. 外星人,8.5,149599, Steven Spielberg,1982,美国,剧情 科幻,生病的E.T.皮肤的颜色就像柿子饼。,https://movie.douban.com/subject/1294638/
211,英国病人,8.4,171584, 安东尼·明格拉 Anthony Minghella,1996,美国 英国,爱情 剧情 战争,"In memory, love lives forever...",https://movie.douban.com/subject/1291853/
212,城市之光,9.2,42585, Charles Chaplin,1931,美国,喜剧 剧情 爱情,永远的小人物，伟大的卓别林。,https://movie.douban.com/subject/1293908/
213,发条橙,8.4,183214, Stanley Kubrick,1971,英国 美国,犯罪 剧情 科幻,我完全康复了。,https://movie.douban.com/subject/1292233/
214,美国丽人,8.4,182022, 萨姆·门德斯 Sam Mendes,1999,美国,剧情 爱情 家庭,每个人的内心都是深不可测的大海。 ,https://movie.douban.com/subject/1292062/
215,无耻混蛋,8.4,219192, Quentin Tarantino,2009,美国 德国,剧情 犯罪,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/
216,叫我第一名,8.6,106759, 彼得·维纳 Peter Werner,2008,美国,剧情 传记,乐观比一切都有力量。,https://movie.douban.com/subject/4798888/
217,模仿游戏,8.5,248153, 莫腾·泰杜姆 Morten Tyldum,2014,英国 美国,剧情 传记 战争 同性,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/
218,穆赫兰道,8.3,230316, 大卫·林奇 David Lynch,2001,法国 美国,剧情 悬疑 惊悚,大卫·林奇的梦境迷宫。,https://movie.douban.com/subject/1292217/
219,非常嫌疑犯,8.6,113959, 布莱恩·辛格 Bryan Singer,1995,德国 美国,剧情 犯罪 悬疑 惊悚,我不信仰上帝，但我敬畏上帝。,https://movie.douban.com/subject/1292214/
220,初恋这件小事,8.3,448953, 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,2010,泰国,剧情 喜剧 爱情,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/
221,勇士,8.9,86072, 加文·欧康诺 Gavin O'Connor,2011,美国,剧情 运动 家庭,热血沸腾，相当完美的娱乐拳击大餐。,https://movie.douban.com/subject/3217169/
222,上帝也疯狂,8.6,94296, Jamie Uys,1980,博茨瓦纳 南非,喜剧,纯净原始的笑与感动。,https://movie.douban.com/subject/1297478/
223,房间,8.8,145078, 伦尼·阿伯拉罕森 Lenny Abrahamson,2015,爱尔兰 加拿大,剧情 家庭,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://movie.douban.com/subject/25724855/
224,头脑特工队,8.7,216970, 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen,2015,美国,喜剧 动画 冒险,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/
225,爱在午夜降临前,8.8,112188, 理查德·林克莱特 Richard Linklater,2013,美国,剧情 爱情,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/
226,蓝色大门,8.3,268824, 易智言 Chih-yen Yee,2002,台湾 法国,剧情 爱情 同性,青春的窃窃私语。 ,https://movie.douban.com/subject/1308575/
227,无敌破坏王,8.6,180398, 瑞奇·莫尔 Rich Moore,2012,美国,喜剧 动画 奇幻 冒险,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
228,爱·回家,9.0,46376, 李廷香 Jeong-hyang Lee,2002,韩国,剧情 家庭,献给所有外婆的电影。,https://movie.douban.com/subject/1299361/
229,血钻,8.5,127716, 爱德华·兹威克 Edward Zwick,2006,美国 德国,剧情 惊悚 冒险,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/
230,疯狂的石头,8.2,304456, 宁浩 Hao Ning,2006,中国大陆 香港,喜剧 犯罪,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/
231,国王的演讲,8.3,331461, 汤姆·霍珀 Tom Hooper,2010,英国 澳大利亚 美国,剧情 传记 历史,皇上无话儿。,https://movie.douban.com/subject/4023638/
232,大卫·戈尔的一生,8.6,89334, Alan Parker,2003,美国 德国 英国,剧情 犯罪 悬疑,捍卫人权只是信仰，一点不妨碍其行为的残忍。,https://movie.douban.com/subject/1305725/
233,枪火,8.6,97362, 杜琪峰 Johnnie To,1999,香港,剧情 动作 犯罪,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,https://movie.douban.com/subject/1300741/
234,麦兜故事,8.5,124821, 袁建滔 Toe Yuen,2001,香港,剧情 喜剧 动画,麦兜是一只很哲学的猪。 ,https://movie.douban.com/subject/1302476/
235,千钧一发,8.7,82915, 安德鲁·尼科尔 Andrew Niccol,1997,美国,剧情 科幻,一部能引人思考的科幻励志片。,https://movie.douban.com/subject/1300117/
236,暖暖内含光,8.4,141400, 米歇尔·冈瑞 Michel Gondry,2004,美国,剧情 爱情 奇幻,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,https://movie.douban.com/subject/1308777/
237,曾经,8.3,199096, 约翰·卡尼 John Carney,2007,爱尔兰,剧情 音乐 爱情,有些幸福无关爱情。,https://movie.douban.com/subject/2053515/
238,遗愿清单,8.5,123605, 罗伯·莱纳 Rob Reiner,2007,美国,冒险 喜剧 剧情,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/
239,荒岛余生,8.5,129616, 罗伯特·泽米吉斯 Robert Zemeckis,2000,美国,冒险 剧情,一个人的独角戏。,https://movie.douban.com/subject/1298653/
240,步履不停,8.8,65559, 是枝裕和 Hirokazu Koreeda,2008,日本,剧情 家庭,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://movie.douban.com/subject/2222996/
241,一个叫欧维的男人决定去死,8.7,107324, 汉内斯·赫尔姆 Hannes Holm,2015,瑞典,剧情,惠及一生的美丽。,https://movie.douban.com/subject/26628357/
242,彗星来的那一夜,8.4,167341, 詹姆斯·沃德·布柯特 James Ward Byrkit,2013,美国 英国,科幻 悬疑 惊悚,小成本大魅力。,https://movie.douban.com/subject/25807345/
243,蝴蝶,8.6,93595, 菲利普·穆伊尔 Philippe Muyl,2002,法国,剧情 儿童 喜剧,我们长途跋涉寻找的东西，有可能一直就在身边。 ,https://movie.douban.com/subject/1292056/
244,我爱你,9.0,54709, 秋昌民 Chang-min Choo,2011,韩国,剧情 爱情,你要相信，这世上真的有爱存在，不管在什么年纪 ,https://movie.douban.com/subject/5908478/
245,巴黎淘气帮,8.6,102837, Laurent Tirard,2009,法国 比利时,儿童 喜剧 家庭,四百击的反面。,https://movie.douban.com/subject/3157605/
246,月球,8.5,140059, 邓肯·琼斯 Duncan Jones,2009,英国,剧情 科幻 悬疑,2009媲美《第九区》的又一部科幻神作。,https://movie.douban.com/subject/3073124/
247,与狼共舞,8.9,54945, Kevin Costner,1990,美国,冒险 剧情 西部,充满诗意与情怀的史诗作品。 ,https://movie.douban.com/subject/1293764/
248,偷拐抢骗,8.5,113751, 盖·里奇 Guy Ritchie,2000,英国 美国,喜剧 犯罪,典型盖·里奇式的英国黑色幽默黑帮片。,https://movie.douban.com/subject/1301171/
249,无人知晓,9.0,49523, 是枝裕和 Hirokazu Koreeda,2004,日本,剧情,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/
250,寿司之神,8.8,80368, 大卫·贾柏 David Gelb,2011,美国,纪录片,仪式主义的狂欢，偏执狂的完胜。,https://movie.douban.com/subject/6146955/
